gene,start,end,strand,product
B0X74_13685,2347336,2347665,c,"phage holin, lambda family"
B0X74_13690,2347962,2349293,,phage associated NTPase
B0X74_13695,2349322,2349687,c,phage antitermination protein Q
ydfU,2349705,2350694,c,DUF968 domain phage associated protein
B0X74_13705,2350702,2350932,c,putative phage protein
sspH2,2351023,2353269,c,E3 ubiquitin--protein ligase
B0X74_13720,2353938,2354729,c,phage tail protein
B0X74_13725,2355032,2355235,,MsgA-like virulence protein
B0X74_13730,2355427,2355984,c,putative membrane protein
B0X74_13735,2356575,2356721,c,uncharacterized protein
narP,2356720,2357367,,nitrate/nitrite response regulator protein NarP
ccmH,2357411,2358454,c,cytochrome c biogenesis protein CcmH
dsbE,2358451,2359008,c,thiol:disulfide interchange protein DsbE
ccmF,2359005,2360936,c,c-type cytochrome biogenesis protein CcmF
ccmE,2360933,2361412,c,cytochrome c-type biogenesis protein CcmE
ccmD,2361409,2361621,c,heme exporter protein CcmD
ccmC,2361618,2362355,c,heme ABC transporter permease
ccmB,2362407,2363063,c,heme exporter protein CcmB
ccmA,2363063,2363680,c,cytochrome c biogenesis protein CcmA
napC,2363701,2364303,c,cytochrome c-type protein NapC
napB,2364313,2364762,c,nitrate reductase NapB
napH,2364878,2365747,c,polyferredoxin NapH (periplasmic nitrate reductase) NapH
napG,2365734,2366429,c,ferredoxin-type protein NapG
napA,2366436,2368922,c,"nitrate reductase, periplasmic"
napD,2368919,2369182,c,"assembly protein for periplasmic nitrate reductase, NapD"
napF,2369172,2369663,c,ferredoxin-type protein NapF
eco,2370077,2370571,,ecotin
yojI,2370780,2372423,c,multidrug ABC transporter permease/ATP-binding protein
alkB,2372499,2373149,c,alpha-ketoglutarate-dependent dioxygenase AlkB
ada,2373152,2374213,c,bifunctional DNA-binding transcriptional dual regulator/O6-methylguanine-DNA methyltransferase (ADA)
apbE,2374294,2375346,c,FAD:protein FMN transferase
ompC,2375461,2376597,c,outer membrane porin OmpC
rcsD,2377326,2379995,,phosphotransferase RcsD
rcsB,2380012,2380662,,DNA-binding response regulator
rcsC,2380765,2383611,c,hybrid sensor histidine kinase/response regulator
gyrA,2383729,2386365,c,DNA gyrase subunit A
B0X74_13875,2386445,2386675,,uncharacterized protein
B0X74_13880,2386775,2387977,c,putative dehydratase
B0X74_13885,2387992,2389317,c,putative sugar phosphate permease
B0X74_13890,2389556,2390251,,GntR family transcriptional regulator
ubiG,2390334,2391062,,bifunctional 3-demethylubiquinone 3-O-methyltransferase/2-octaprenyl-6-hydroxy phenol methylase
nrdA,2391418,2393703,,ribonucleoside-diphosphate reductase 1 subunit alpha
nrdB,2393816,2394946,,ribonucleoside-diphosphate reductase 1 subunit beta
yfaE,2394946,2395200,,ferredoxin YfaE
B0X74_13915,2395202,2396392,c,MFS family permease
B0X74_13920,2396554,2397432,,LysR family transcriptional regulator
glpQ,2397548,2398618,c,glycerophosphoryl diester phosphodiesterase GlpQ
glpT,2398623,2399981,c,sn-Glycerol-3-phosphate permease GlpT
glpA,2400254,2401882,,sn-glycerol-3-phosphate dehydrogenase subunit A (GlpA)
glpB,2401872,2403131,,anaerobic glycerol-3-phosphate dehydrogenase subunit B (GlpB)
glpC,2403128,2404318,,sn-glycerol-3-phosphate dehydrogenase subunit C (GlpC)
sseL,2404744,2405766,,deubiquitinase SseL
B0X74_13960,2405876,2406052,c,molybdopterin-binding protein
rhmA,2406058,2406861,c,2-keto-3-deoxy-L-rhamnonate aldolase
yfaV,2406887,2408176,c,MFS transporter
yfaW,2408232,2409449,c,L-rhamnonate dehydratase
yfaX,2409451,2410233,c,transcriptional regulator
yfaY,2410483,2411679,c,competence/damage-inducible protein A
yfaZ,2411794,2412441,c,outer membrane protein YfaZ
nudI,2412615,2413040,,nucleoside triphosphatase NudI
ais,2413085,2413690,c,lipopolysaccharide core heptose(II)-phosphate phosphatase
arnB,2413971,2415128,,UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase
arnC,2415131,2416114,,undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
arnA,2416111,2418093,,bifunctional UDP-glucuronic acid oxidase/UDP-4-amino-4-deoxy-L-arabinose formyltransferase
arnD,2418090,2418989,,4-deoxy-4-formamido-L-arabinose- phosphoundecaprenol deformylase ArnD
arnT,2418986,2420632,,4-amino-4-deoxy-L-arabinose lipid A transferase
arnE,2420629,2420964,,4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE
arnF,2420964,2421341,,4-amino-4-deoxy-L-arabinose-phospho-UDP flippase
pmrD,2421336,2421593,c,signal transduction protein PmrD
menE,2421691,2423058,c,2-succinylbenzoate-CoA ligase
menC,2423055,2424017,c,o-succinylbenzoate synthase
menB,2424017,2424874,c,"1,4-dihydroxy-2-naphthoyl-CoA synthase"
menH,2424889,2425647,c,"2-succinyl-6-hydroxy-2, 4-cyclohexadiene-1-carboxylate synthase"
menD,2425644,2427314,c,2-succinyl-5-enolpyruvyl-6-hydroxy-3- cyclohexene-1-carboxylate synthase
menF,2427400,2428695,c,isochorismate synthase MenF
elaB,2428796,2429107,c,membrane protein ElaB
elaA,2429156,2429617,c,GNAT family N-acetyltransferase
rbn,2429678,2430595,,ribonuclease Z like protein
yfbK,2431702,2433483,c,von Willebrand factor domain predicted lipoprotein YfbK
nuoN,2434371,2435828,c,NADH-quinone oxidoreductase subunit N
nuoM,2435835,2437364,c,NADH-quinone oxidoreductase subunit M
nuoL,2437678,2439519,c,NADH-quinone oxidoreductase subunit L
nuoK,2439516,2439818,c,NADH-quinone oxidoreductase subunit K
nuoJ,2439815,2440369,c,NADH-quinone oxidoreductase subunit J
nuoI,2440380,2440922,c,NADH-quinone oxidoreductase subunit I
nuoH,2440937,2441914,c,NADH-quinone oxidoreductase subunit H
nuoG,2441911,2444643,c,NADH-quinone oxidoreductase subunit G
nuoF,2444668,2446005,c,NADH-quinone oxidoreductase subunit F
nuoE,2446002,2446502,c,NADH-quinone oxidoreductase subunit E
nuoC,2446505,2448307,c,NADH-quinone oxidoreductase subunit C/D
nuoB,2448394,2449056,c,NADH-quinone oxidoreductase subunit B
nuoA,2449072,2449515,c,NADH-quinone oxidoreductase subunit A
lrhA,2450142,2451080,c,transcriptional regulator LrhA
alaA,2452012,2453226,,alanine aminotransferase AlaA
yfbR,2453320,2453919,,5'-deoxynucleotidase YfbR
yfbS,2454011,2455837,c,putative transporter YfbS
yfbT,2455914,2456591,c,sugar phosphatase YfbT
yfbU,2456584,2457078,c,UPF0304 protein YfbU
yfbV,2457161,2457616,c,Ter macrodomain insulation protein YfbV
ackA,2457956,2459158,,acetate kinase
pta,2459235,2461379,,phosphate acetyltransferase
yfcC,2461597,2463117,,putative transporter protein YfcC
B0X74_14220,2463166,2464119,c,"transketolase, C-terminal subunit"
B0X74_14225,2464112,2464942,c,"transketolase, N-terminal subunit"
ulaA2,2464939,2466330,c,PTS ascorbate transporter subunit IIC
ulaB2,2466351,2466623,c,PTS mannitol transporter subunit IIB
ulaC2,2466704,2467147,c,PTS ascorbate transporter subunit IIA
B0X74_14250,2467400,2468419,,GntR-like transcriptional regulator
yfcD,2468425,2468979,c,NUDIX hydrolase YfcD
yfcE,2469036,2469587,c,phosphodiesterase YfcE
yfcF,2469643,2470287,c,glutathione S-transferase
yfcG,2470430,2471077,,thiol:disulfide oxidoreductase
yfcH,2471203,2472096,,NAD dependent epimerase/dehydratase family enzyme YfcH
hisP,2472148,2472921,c,histidine/lysine/arginine/ornithine ABC transporter ATP-binding protein HisP
hisM,2472935,2473642,c,histidine ABC transporter permease
hisQ,2473639,2474325,c,histidine ABC transporter permease
hisJ,2474508,2475290,c,histidine-binding periplasmic protein
argT,2475528,2476310,c,lysine/arginine/ornithine-binding periplasmic protein
ubiX,2476599,2477168,c,3-octaprenyl-4-hydroxybenzoate carboxy-lyase partner protein
B0X74_14315,2477195,2478601,c,LysP-like amino acid transporter
B0X74_14320,2478665,2479768,c,alanine racemase family protein
B0X74_14325,2479770,2481191,c,YjeM family amino acid transporter
B0X74_14330,2481282,2482679,c,diaminopimelate decarboxylase
B0X74_14335,2482890,2484317,,sigma-54-dependent Fis family transcriptional regulator
purF,2484353,2485870,c,amidophosphoribosyltransferase
cvpA,2485908,2486396,c,colicin V production protein
dedD,2486707,2487381,c,septum-associated cell division protein DedD
folC,2487371,2488639,c,bifunctional tetrahydrofolate synthase/dihydrofolate synthase
accD,2488707,2489621,c,acetyl-CoA carboxylase carboxyltransferase subunit beta
dedA,2489771,2490430,c,putative transporter protein DedA
truA,2490479,2491291,c,tRNA pseudouridine(38-40) synthase TruA
usg,2491291,2492304,c,aspartate-semialdehyde dehydrogenase (USG-1 protein)
pdxB,2492372,2493508,c,erythronate-4-phosphate dehydrogenase
flk,2493612,2494613,,flagella biosynthesis regulator Flk
yfcJ,2494610,2495788,c,UPF0226 family transporter YfcJ
B0X74_14395,2495968,2496342,c,uncharacterized protein
sfsB,2496515,2496763,,transcriptional regulator
B0X74_14405,2496932,2497300,,uncharacterized protein
B0X74_14410,2497300,2497818,,DUF3828 domain protein
B0X74_14415,2497885,2498541,c,CPBP family intramembrane metalloprotease
tnpA,2498688,2499146,c,IS200/IS605 family transposase
fabB,2499350,2500564,c,beta-ketoacyl-[acyl-carrier-protein] synthase I
mnmC,2500664,2502724,,bifunctional tRNA (5-methylaminomethyl-2-thiouridine)(34)-methyltransferase MnmD/FAD-dependent 5-carboxymethylaminomethyl-2-thiouridine(34) oxi
yfcL,2502776,2503051,c,uncharacterized protein YfcL
epmC,2503084,2503632,c,elongation factor P hydroxylase EpmC
yfcA,2503632,2504441,c,UPF0721 family membrane protein YfcA
mepA,2504441,2505265,c,penicillin-insensitive murein endopeptidase MepA
aroC,2505269,2506354,c,chorismate synthase
prmB,2506390,2507322,c,ribosomal protein L3 N(5)-glutamine methyltransferase
smrB,2507488,2508039,,endonuclease SmrB
sixA,2508139,2508624,c,phosphohistidine phosphatase SixA
fadJ,2508833,2510980,c,fatty acid oxidation complex subunit alpha
fadI,2510980,2512290,c,acetyl-CoA C-acyltransferase FadI
yfcZ,2512468,2512752,c,UPF0381/DUF406 family protein
fadL,2513117,2514430,,long-chain fatty acid transporter
mlaA,2514491,2515246,c,outer-membrane-phospholipid-binding lipoprotein MlaA
yfdC,2515535,2516476,,FocA family protein YfdC
pgtE,2516783,2517721,c,outer membrane protease E
pgtA,2517989,2519236,c,phosphoglycerate transport system transcriptional regulatory protein PgtA
pgtB,2519226,2521232,c,phosphoglycerate transport system sensor protein PgtB
pgtC,2521229,2522422,c,phosphoglycerate transport regulatory protein PgtC
B0X74_14535,2522466,2522684,c,uncharacterized protein
pgtP,2522858,2524249,,phosphoglycerate transporter protein
yfdY,2524525,2524767,c,DUF2545 domain protein
lpxP,2525289,2526209,,lipid A biosynthesis palmitoleoyl acyltransferase
alaC,2526733,2527971,c,glutamate-pyruvate aminotransferase AlaC
B0X74_14560,2528313,2528579,c,uncharacterized protein
glk,2528692,2529657,c,glucokinase
yfeO,2529861,2531096,,ion channel protein
ipdC,2531116,2532768,c,indolepyruvate decarboxylase
gpr,2532948,2533946,,L-glyceraldehyde 3-phosphate reductase
ypeC,2534060,2534386,,DUF2502 domain putative periplasmic protein YpeC
mntH,2534447,2535688,c,manganese/divalent cation transport protein MntH
nupC,2536031,2537233,,NupC/NupG family nucleoside CNT transporter
yfeA,2537286,2539475,c,sensor domain-containing phosphodiesterase
yfeC,2540081,2540443,,"DUF1323 family, putative transcription regulator YfeC"
yfeD,2540445,2540837,,"DUF1323 family, putative transcription regulator YfeD"
gltX,2540891,2542306,c,glutamate--tRNA ligase
xapR,2543122,2544006,c,xanthosine operon regulatory protein XapR
xapX,2544058,2544216,c,XapX domain-containing protein
xapB,2544275,2545531,c,nucleoside permease
xapA,2545586,2546419,c,purine-nucleoside phosphorylase
yfeN,2546675,2547436,,outer membrane protein YfeN
yfeR,2547498,2548424,c,LysR family transcriptional regulator YfeR
yfeH,2548514,2549512,,putative bile acid:sodium symporter
ypeB,2549509,2549736,c,DUF3820 domain protein
ligA,2549729,2551744,c,DNA ligase (NAD(+)) LigA
zipA,2551816,2552802,c,cell division protein ZipA
cysZ,2553034,2553795,,sulfate transporter CysZ
cysK,2553959,2554930,,cysteine synthase A
ptsH,2555314,2555571,,phosphocarrier protein HPr
ptsI,2555620,2557347,,phosphoenolpyruvate--protein phosphotransferase
crr,2557388,2557897,,glucose-specific phosphotransferase enzyme IIA component
B0X74_14735,2558046,2558285,c,cytoplasmic protein
pdxK,2558282,2559148,c,pyridoxine kinase PdxK
ptsJ,2559231,2560523,,transcriptional regulator PtsJ
yfeJ,2560538,2561257,,GMP synthase
yfeK,2561316,2561696,,uncharacterized protein YfeK
yfeL,2561709,2562248,,putative membrane carboxypeptidase (penicillin-binding protein)
cysM,2562379,2563290,c,cysteine synthase B
cysA,2563358,2564455,c,sulfate/thiosulfate import ATP-binding protein CysA
cysW,2564445,2565320,c,sulfate ABC transporter permease subunit CysW
cysU,2565320,2566153,c,sulfate ABC transporter permease
cysP,2566153,2567169,c,thiosulfate-binding protein
ucpA,2567327,2568118,c,NAD(P)-dependent oxidoreductase
tnpA,2568339,2568797,c,IS200/IS605 family transposase
yfeX,2569067,2569966,c,iron-dependent peroxidase
yfeY,2570061,2570636,c,RpoE-regulated lipoprotein
yfeZ,2570698,2571147,c,DUF2919 domain protein YfeZ
ypeA,2571134,2571559,c,acetyltransferase YpeA
amiA,2571772,2572641,,N-acetylmuramoyl-L-alanine amidase
hemF,2572644,2573543,,coproporphyrinogen III oxidase
ypfK,2573564,2573893,,uncharacterized protein YpfK
ypfL,2574106,2575299,,uncharacterized protein YpfL
eutR,2575499,2576551,c,transcriptional regulator EutR
eutK,2576599,2577093,c,ethanolamine utilization protein EutK
eutL,2577106,2577765,c,microcompartment protein EutL
eutC,2577775,2578671,c,ethanolamine ammonia-lyase light chain
eutB,2578690,2580051,c,ethanolamine ammonia-lyase heavy chain
eutA,2580063,2581466,c,ethanolamine utilization protein EutA
eutH,2581463,2582689,c,ethanolamine utilization protein EutH
eutG,2582809,2583996,c,ethanolamine utilization protein EutG
eutJ,2583986,2584825,c,ethanolamine utilization protein EutJ
eutE,2584836,2586239,c,ethanolamine utilization protein EutE
eutN,2586251,2586538,c,ethanolamine utilization protein EutN
eutM,2586651,2586941,c,ethanolamine utilization protein EutM
eutD,2586982,2587998,c,ethanolamine utilization protein EutD
eutT,2587995,2588798,c,cobalamin adenosyltransferase
eutQ,2588795,2589484,c,ethanolamine utilization protein EutQ
eutP,2589462,2589941,c,ethanolamine utilization protein EutP
eutS,2589954,2590289,c,ethanolamine utilization protein EutS
maeB,2590707,2592986,c,NADP-dependent malic enzyme
talA,2593258,2594208,,transaldolase A
tktB,2594228,2596228,,transketolase
B0X74_14955,2596291,2596521,c,uncharacterized protein
ypfG,2596649,2597692,c,DUF1176 domain protein
nudK,2597817,2598392,c,GDP-mannose pyrophosphatase NudK
yfeW,2598596,2599894,,penicillin binding protein PBP4B
aegA,2600343,2602304,c,oxidoreductase FeS-binding subunit
narQ,2602490,2604190,,nitrate/nitrite two-component system sensor histidine kinase NarQ
acrD,2604375,2607488,,multidrug efflux RND transporter permease subunit
yffB,2608062,2608418,,arsenate reductase
dapE,2608422,2609549,,succinyl-diaminopimelate desuccinylase
ypfN,2609577,2609777,,UPF0370 protein YpfN
tmcA,2609804,2611822,c,tRNA(Met) cytidine acetyltransferase TmcA
ypfJ,2611838,2612701,c,neutral zinc metallopeptidase
purC,2612832,2613545,c,phosphoribosylaminoimidazolesuccinocarboxamide synthase
bamC,2613720,2614754,c,outer membrane protein assembly factor BamC
dapA,2614771,2615649,c,4-hydroxy-tetrahydrodipicolinate synthase
gcvR,2615729,2616367,,glycine cleavage system transcriptional repressor
bcp,2616367,2616837,,peroxiredoxin
B0X74_15045,2616884,2617237,c,glycerate kinase related protein
perM,2617424,2618491,c,AI-2E family transporter
bepA,2618699,2620162,,beta-barrel assembly-enhancing protease
yfgD,2620202,2620561,,putative arsenate reductase (glutaredoxin)
hda,2620588,2621313,c,DnaA regulatory inactivator Hda
uraA,2621384,2622673,c,uracil/xanthine transporter
upp,2622761,2623387,c,uracil phosphoribosyltransferase
B0X74_15080,2623586,2623765,,uncharacterized protein
purM,2623801,2624838,,phosphoribosylformylglycinamidine cyclo-ligase
purN,2624838,2625476,,phosphoribosylglycinamide formyltransferase
ppk,2625665,2627731,,polyphosphate kinase 1
ppx,2627736,2629277,,exopolyphosphatase
yfgF,2629313,2631526,c,cyclic di-GMP phosphodiesterase YfgF
yfgG,2631939,2632130,,DUF2633 domain protein
B0X74_15115,2632209,2632445,c,uncharacterized protein
B0X74_15120,2632468,2632686,,uncharacterized protein
B0X74_15125,2632686,2633000,,DUF1493 domain protein
guaA,2633533,2635110,c,GMP synthetase
guaB,2635180,2636652,c,IMP dehydrogenase
xseA,2636807,2638156,,exodeoxyribonuclease VII large subunit
shdA,2638318,2644437,c,fibronectin-binding autotransporter adhesin ShdA
ratB,2645131,2652438,c,putative outer membrane protein RatB
ratA,2652604,2658201,c,outer membrane protein
sinI,2658321,2659280,c,outer membrane protein
sinH,2659338,2661530,c,intimin-like inverse autotransporter protein SinH
yfgJ,2661876,2662097,c,zinc ribbon domain protein YfgJ
der,2662186,2663658,c,ribosome biogenesis GTPase Der
bamB,2663777,2664955,c,outer membrane protein assembly factor BamB
yfgM,2664966,2665586,c,periplasmic chaperone YfgM
hisS,2665600,2666874,c,histidine--tRNA ligase HisS
ispG,2666985,2668103,c,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
rodZ,2668130,2669134,c,cytoskeleton protein RodZ
B0X74_15220,2669271,2669393,c,uncharacterized protein
rlmN,2669426,2670592,c,bifunctional tRNA (adenosine(37)-C2)-methyltransferase TrmG/ribosomal RNA large subunit methyltransferase RlmN
ndk,2670799,2671230,c,nucleoside-diphosphate kinase
B0X74_15235,2671351,2672214,c,putative polyferredoxin
dmsC2,2672214,2673023,c,anaerobic dimethyl sulfoxide reductase chain C
dmsB2,2673016,2673645,c,"dimethylsulfoxide reductase, chain B"
dmsA2,2673642,2676020,c,"anaerobic dimethyl sulfoxide reductase, A subunit"
pbpC,2676176,2678491,c,penicillin-binding protein 1C
yfhM,2678492,2683426,c,bacterial alpha-2-macroglobulin (A2M) family protein
sseA,2683635,2684477,,3-mercaptopyruvate sulfurtransferase
B0X74_15275,2684724,2685392,,DUF5066 domain protein
sseB,2685961,2686737,c,enhanced serine sensitivity protein SseB
pepB,2686847,2688130,c,peptidase B
iscX,2688377,2688577,c,Fe-S assembly protein IscX
fdx,2688589,2688924,c,ferredoxin
B0X74_15310,2688926,2690776,c,molecular chaperone HscA
hscB,2690789,2691304,c,co-chaperone protein HscB
iscA,2691500,2691823,c,iron-sulfur cluster assembly accessory protein
iscU,2691852,2692238,c,iron-sulfur cluster scaffold-like protein
iscS,2692266,2693480,c,IscS subfamily cysteine desulfurase
iscR,2693661,2694155,c,Fe-S cluster assembly transcriptional regulator IscR
trmJ,2694315,2695046,c,tRNA (cytosine(32)/uridine(32)-2'-O)-methyltransferase TrmJ
suhB,2695165,2695968,,inositol monophosphatase
yfhR,2696113,2696991,,FrsA family protein YfhR
asrA,2697173,2698216,,sulfite reductase subunit alpha
asrB,2698220,2699038,,anaerobic sulfite reductase subunit B
asrC,2699049,2700062,,anaerobic sulfite reductase subunit C
B0X74_15370,2700063,2701049,c,RcnA family putative nickel/cobalt permease
B0X74_15375,2701040,2701678,c,"ABC-type transport system, periplasmic component"
csiE,2701804,2703081,,stationary phase inducible protein CsiE
hcaT,2703076,2704215,c,3-phenylpropionic acid transporter
glyA,2704411,2705664,c,serine hydroxymethyltransferase
hmp,2705989,2707179,,flavohemoprotein
cadC,2707361,2708905,,transcriptional regulator CadC
cadB,2709266,2710597,,lysine:cadaverine antiporter CadB
cadA,2710680,2712824,,lysine decarboxylase (inducible) CadA
dtpC,2712880,2714340,,dipeptide and tripeptide permease C
glnB,2714389,2714727,c,nitrogen regulatory protein P-II 1
glrR,2714804,2716141,c,response regulator GlrR
yfhG,2716138,2716902,c,quorum-sensing regulator protein G
glrK,2716904,2718289,c,two-component sensor histidine kinase GlrK
purG,2718984,2722871,c,phosphoribosylformylglycinamidine synthase
B0X74_15445,2722896,2723126,,uncharacterized protein
mltF,2723127,2724671,,membrane-bound lytic murein transglycosylase F
tadA,2724722,2725273,c,tRNA adenosine(34) deaminase TadA
pgpC,2725298,2725933,c,phosphatidylglycerophosphatase C
murP,2725937,2727298,c,PTS system N-acetylmuramic acid transporter subunit IIBC
murQ,2727309,2728202,c,N-acetylmuramic acid 6-phosphate etherase
yfhH,2728318,2729166,,MurR/RpiR family transcriptional regulator
panE,2729205,2730122,c,2-dehydropantoate 2-reductase
B0X74_15485,2730144,2731340,c,MFS oxalate/formate antiporter family transporter
B0X74_15490,2731456,2732382,,LysR family transcriptional regulator
yfhL,2732420,2732680,,ferredoxin-like protein YfhL
acpS,2732792,2733172,c,"holo-ACP synthase, AcpS"
pdxJ,2733172,2733903,c,pyridoxine 5'-phosphate (PNP) synthase
recO,2733915,2734643,c,DNA repair protein RecO
era,2734655,2735560,c,"membrane-associated, 16S rRNA-binding GTPase Era"
rnc,2735557,2736237,c,ribonuclease 3
lepB,2736511,2737485,c,S26 family signal peptidase
lepA,2737502,2739301,c,elongation factor 4
gogB,2739706,2741199,,type III secretion system protein GogB
B0X74_15545,2741654,2741791,,PAGK family virulence factor protein
B0X74_27140,2742038,2742583,,putative Gifsy-1 prophage protein
B0X74_15565,2743376,2743588,c,"PinE invertase like, Gifsy-1 phage protein"
B0X74_15570,2743722,2743922,,PAGK family Gifsy-1 phage virulence factor
B0X74_15575,2744019,2744597,c,Gifsy-1 phage tail fiber protein
B0X74_15580,2744587,2745411,c,Gifsy-1 phage tail protein
B0X74_15585,2745408,2747780,c,Gifsy-1 phage tail protein
B0X74_15590,2747834,2748076,c,uncharacterized protein
B0X74_15595,2748115,2751477,c,host specificity protein J (Gifsy-1 phage)
B0X74_15600,2751539,2752186,c,phage tail protein
B0X74_15605,2752084,2752821,c,phage tail protein
B0X74_15610,2752828,2753526,c,phage minor tail protein L
B0X74_15615,2753536,2753865,c,phage tail protein
B0X74_15620,2753868,2756963,c,phage tail tape measure protein
B0X74_15625,2756935,2757249,c,phage tail assembly protein T
B0X74_15630,2757270,2757665,c,phage minor tail protein G
B0X74_15635,2757716,2758459,c,major phage tail subunit protein
B0X74_15640,2758470,2758871,c,phage tail shaft stabilization protein
B0X74_15645,2758980,2760110,,ISEc42 like (IS200/IS605 family) transposase
B0X74_15650,2760159,2760737,c,phage head-tail assembly protein
B0X74_15655,2760765,2761148,c,phage minor head-tail protein
B0X74_15660,2761159,2761518,c,accessory DNA packaging protein
B0X74_15665,2761576,2762604,c,capsid protein E (Gifsy-1 phage)
B0X74_15670,2762659,2763006,c,phage head decoration protein
B0X74_15675,2763019,2764515,c,scaffolding protein (Gifsy-1 phage)
B0X74_15680,2764505,2766085,c,portal protein (Gifsy-1 phage)
B0X74_15685,2766082,2766285,c,phage head-to-tail joining protein
terL,2766269,2768200,c,large terminase subunit (Gifsy-1 phage)
terS,2768172,2768717,c,small terminase subunit (Gifsy-1 phage)
pliG,2769004,2769405,,inhibitor of g-type lysozyme (Gifsy-1 phage)
rzp,2769641,2770114,c,lysis protein Rz (Gifsy-1 phage)
B0X74_15707,2769679,2769891,c,Rz1 lipoprotein
rrrG1,2770111,2770560,c,phage lysozyme/muraminidase (Gifsy-1 phage)
hol1,2770547,2770882,c,"phage holin, lambda family (Gifsy-1 phage)"
pipA1,2771152,2771838,,PipA family type III secretion system effector
B0X74_15735,2772748,2773311,c,putative antirepressor protein (Gifsy-1 phage)
B0X74_15745,2773584,2774261,c,antiterminator protein Q (Gifsy-1 phage)
ninG,2774395,2775006,c,protein NinG (Gifsy-1 phage)
B0X74_15755,2775009,2775215,c,uncharacterized protein (Gifsy-1 phage)
B0X74_15760,2775215,2775817,c,"DUF1367 domain, Gifsy-1 phage protein"
B0X74_15765,2775857,2776162,c,uncharacterized protein (Gifsy-1 phage)
dinI,2776152,2776391,c,DNA damage-inducible protein I (Gifsy-1 phage)
ea8.5,2776583,2776864,c,protein ea8.5 (Gifsy-1 phage)
B0X74_15780,2777040,2777252,c,uncharacterized protein (Gifsy-1 phage)
B0X74_15785,2777256,2777729,c,putative methyltransferase (Gifsy-1 phage)
B0X74_15790,2777729,2778253,c,Ead/Ea22-like protein (Gifsy-1 phage)
B0X74_15795,2778250,2778597,c,DUF977 domain protein (Gifsy-1 phage)
dnaC1,2778608,2779357,c,DNA replication protein DnaC (Gifsy-1 phage)
o1,2779360,2780343,c,bacteriophage replication protein O
B0X74_15810,2780428,2780802,c,CII-like regulatory protein (Gifsy-1 phage)
B0X74_15815,2780768,2781004,c,Cro/Cl family transcriptional regulator
B0X74_15820,2781134,2781538,,DicA family repressor (Gifsy-1 phage)
B0X74_15825,2782117,2782467,,uncharacterized protein (Gifsy-1 phage)
B0X74_15830,2782594,2785521,,exodeoxyribonuclease VIII (Gifsy-1 phage)
recT,2785532,2786641,,Gifsy-1 prophage RecT
B0X74_15840,2786684,2786923,,DUF4060 domain protein (Gifsy-1 phage)
B0X74_15845,2786964,2787248,,uncharacterized protein (Gifsy-1 phage)
int,2787226,2788455,c,bacteriophage Gifsy-1 integrase
B0X74_15855,2788807,2788923,c,uncharacterized protein
rseC,2788953,2789432,c,SoxR reducing system protein RseC
rseB,2789429,2790385,c,sigma-E factor regulatory protein RseB
rseA,2790385,2791035,c,anti-sigma-E factor RseA
rpoE,2791067,2791642,c,ECF RNA polymerase sigma-E factor
B0X74_15880,2791803,2791982,c,uncharacterized protein
nadB,2792067,2793689,,L-aspartate oxidase
trmN,2793674,2794411,c,tRNA (adenosine(37)-N6)-methyltransferase TrmM
srmB,2794542,2795876,,ATP-dependent RNA helicase SrmB
yfiE,2795894,2796838,c,LysR family transcriptional regulator
eamB,2796896,2797483,,cysteine/O-acetylserine efflux protein
grcA,2797545,2797928,c,autonomous glycyl radical cofactor GrcA
ung,2798247,2798936,,uracil-DNA glycosylase
yfiF,2799052,2800089,c,tRNA/rRNA methyltransferase
trxC,2800293,2800712,,thiol disulfide reductase thioredoxin
yfiP,2800785,2801465,,DTW domain-containing protein
pat,2801519,2804179,,protein lysine acetyltransferase Pat
pssA,2804294,2805649,,phosphatidylserine synthase PssA
yfiM,2805694,2806017,,DUF2279 domain putative lipoprotein YfiM
kgtP,2806014,2807315,c,putative alpha-ketoglutarate transporter
B0X74_15955,2807419,2807874,c,DUF4385 domain protein
clpB,2813755,2816328,c,chaperone protein ClpB
yfiH,2816458,2817189,c,laccase domain protein YfiH
rluD,2817186,2818166,c,ribosomal large subunit pseudouridine synthase D
bamD,2818298,2819035,,outer membrane protein assembly factor BamD
raiA,2819307,2819645,,ribosomal subunit interface protein RaiA
pheA,2819896,2821056,,bifunctional chorismate mutase/prephenate dehydratase
yvrE,2821017,2821925,c,putative gluconolactonase
tyrA,2821983,2823104,c,bifunctional chorismate mutase/prephenate dehydrogenase TyrA
aroF,2823114,2824184,c,phospho-2-dehydro-3-deoxyheptonate aldolase Tyr-sensitive
yfiR,2824624,2825142,,DUF4154 domain protein YfiR
yfiN,2825135,2826355,,di-guanylate cyclase YfiN
rplS,2826512,2826859,c,50S ribosomal protein L19
trmD,2826900,2827667,c,tRNA (guanosine(37)-N1)-methyltransferase TrmD
rimM,2827712,2828260,c,ribosome maturation factor RimM
rpsP,2828279,2828527,c,30S ribosomal protein S16
ffh,2828841,2830202,c,signal recognition particle protein Ffh
corE,2830368,2831159,,inner membrane protein YpjD
